PAID;POINT_OF_SALE;EVENT_ID;YEAR;MONTH;N_SUBSCRIPTIONS;PRICE;PHONE_NUMBER;PROP_CONBINI;PAYMENT_TYPE;FAV_GENRE;AGE;DAYS_FROM_PROMO;BOOKS_PAID;N_TRANSACTIONS;N_ITEMS;DATE_LAST_PURCHASE;CUSTOMER_SINCE;MAIL;SUBSCR_CANC;MARGIN
YES;BO;INN13180;2018;JAN;0;8.358;0;0,5;Card;Shonen;15;8.0;;;4;01/01/0001;01/01/9999;0;0;
YES;BO;INN30862;2018;APR;1;12.173;0;0,33333;Card;Shonen;12;29.0;2.0;1.0;3;19/03/2018;19/03/2018;0;0;20.36904961241177
YES;BO;INN14028;2018;FEB;0;5.788;0;0,5;Card;Shojo;14;24.0;2.0;1.0;4;28/01/2018;28/01/2018;0;0;24.458624677489095
NO;RM;INN14956;2018;MAR;1;8.190000000000001;0;0,0;Card;Shonen;;24.0;1.0;1.0;3;09/02/2018;09/02/2018;0;0;10.526325474055328
YES;NA;INN07365;2018;AUG;1;11.183;0;0,33333;Card;Shonen;17;6.0;3.0;1.0;3;07/07/2018;07/07/2018;0;1;39.58159942337075
NO;BO;INN05303;2018;JUL;0;15.030000000000001;0;0,0;Card;Shonen;14;9.0;;;3;01/01/0001;01/01/9999;0;0;
NO;BO;INN19085;2018;AUG;0;15.030000000000001;0;0,25;Card;Shonen;12;21.0;1.0;1.0;4;04/05/2018;04/05/2018;0;0;11.719039668012385
YES;BO;INN10661;2018;JUN;0;10.0;0;0,33333;Cash;Shonen;;16.0;2.0;2.0;3;07/04/2018;06/01/2018;0;0;20.381014727584446
YES;BO;INN15890;2018;MAR;1;10.709999999999999;0;0,33333;Card;Shojo;<=10;29.0;5.0;2.0;3;22/02/2018;07/08/2017;0;0;49.46367536254166
YES;BO;INN00619;2018;JUN;1;0.0;0;0,0;Coupon;;13;3.0;3.0;1.0;2;26/05/2018;26/05/2018;0;1;28.024457408044054
YES;BO;INN15731;2018;MAY;0;12.9;0;0,5;Card;Shojo;16;1.0;;;4;01/01/0001;01/01/9999;0;0;
YES;BO;INN23839;2018;AUG;0;9.629999999999999;0;0,33333;Card;Shonen;;5.0;;;3;01/01/0001;01/01/9999;0;0;
YES;BO;INN33157;2018;APR;0;8.0;0;0,6;Cash;Shonen;21;30.0;6.0;3.0;5;03/08/2017;12/12/2016;0;0;51.12404944226822
YES;MI;INN13266;2018;JAN;0;7.1;0;0,5;Cash;Shonen;22;4.0;2.0;1.0;2;05/08/2017;05/08/2017;0;0;22.64206051890555
YES;MI;INN21628;2018;APR;1;10.075;0;0,5;Card;Shonen;21;28.0;3.0;2.0;4;05/01/2018;06/08/2017;0;0;27.359281304625547
YES;BO;INN07700;2018;JUN;0;12.0;0;0,0;Cash;Shonen;17;17.0;;;2;01/01/0001;01/01/9999;0;0;
YES;NA;INN11499;2018;JUL;0;8.245000000000001;0;0,33333;Cash;Shonen;11;3.0;3.0;1.0;3;03/04/2018;03/04/2018;0;0;40.424081984022
YES;MI;INN19988;2018;JUL;2;14.219999999999999;0;0,0;Card;Shonen;17;30.0;8.0;2.0;3;17/04/2018;27/11/2017;0;2;83.68283958929814
YES;BO;INN05965;2018;OCT;0;9.5;0;0,0;Cash;Shonen;14;17.0;;;1;01/01/0001;01/01/9999;0;0;
YES;NA;INN18646;2018;OCT;3;13.23;0;0,0;Card;Shonen;18;12.0;3.0;2.0;2;10/05/2018;20/09/2017;1;3;42.44375033143092
YES;BO;INN05843;2018;SEP;2;11.7;0;0,5;Card;Shonen;17;2.0;;;4;01/01/0001;01/01/9999;0;0;
YES;BO;INN21275;2018;MAR;2;12.33;0;0,25;Card;Shonen;<=10;2.0;;;4;01/01/0001;01/01/9999;0;0;
YES;NA;INN21882;2018;OCT;2;9.0;0;0,0;Cash;Shonen;;28.0;3.0;1.0;2;27/11/2017;27/11/2017;0;1;33.34878361290947
YES;BO;INN24168;2018;OCT;0;12.0;0;0,0;Cash;Shonen;20;31.0;3.0;3.0;1;08/09/2018;14/04/2018;0;0;24.923950202932993
YES;BO;INN13563;2018;JUN;0;10.7;0;0,0;Card;Shojo;11;27.0;2.0;1.0;2;27/06/2018;27/06/2018;0;0;17.45607687584701
YES;BO;INN33219;2018;FEB;0;0.0;0;0,66667;Card;Shonen;17;16.0;6.0;3.0;3;15/02/2018;07/06/2017;0;0;71.31077625573997
YES;BO;INN26009;2018;SEP;2;15.209999999999999;0;0,25;Card;Shonen;27;2.0;3.0;1.0;4;19/06/2018;19/06/2018;0;2;38.5551121571744
YES;RM;INN02896;2018;MAY;1;11.15;0;0,0;Cash;Shonen;19;25.0;1.0;1.0;2;26/04/2018;26/04/2018;0;1;10.895416463868619
YES;BO;INN26281;2018;JUL;1;13.77;0;0,25;Card;Shonen;11;4.0;;;4;01/01/0001;01/01/9999;0;0;
YES;BO;INN06119;2018;SEP;1;13.23;0;0,5;Card;Shonen;21;18.0;2.0;1.0;4;26/07/2018;26/07/2018;0;0;21.85747718575246
YES;BO;INN24429;2018;AUG;1;12.76;0;0,33333;Card;Shonen;12;29.0;;;3;01/01/0001;01/01/9999;0;0;
YES;RM;INN02739;2018;MAY;0;8.0;0;0,0;Cash;Shonen;;31.0;;;2;01/01/0001;01/01/9999;0;0;
NO;BO;INN26902;2018;JUN;1;11.5;0;0,0;Cash;;16;21.0;1.0;1.0;2;29/09/2017;29/09/2017;0;0;11.691798261605268
YES;MI;INN35332;2018;JUL;1;9.629999999999999;0;0,33333;Card;Shonen;25;29.0;1.0;1.0;3;26/01/2018;26/01/2018;0;0;11.316957115644696
YES;BO;INN26530;2018;MAY;2;18.6;0;0,0;Card;Shonen;14;31.0;1.0;1.0;3;20/05/2018;20/05/2018;0;0;11.740698888843404
YES;BO;INN08837;2018;MAY;0;12.9;0;0,66667;Card;Shojo;15;4.0;;;3;01/01/0001;01/01/9999;0;0;
YES;BO;INN16021;2018;JUL;0;6.5;0;0,0;Coupon;Shonen;21;23.0;3.0;3.0;1;20/07/2018;04/03/2018;0;0;33.2179665505165
YES;BO;INN11830;2018;SEP;2;8.9;0;0,66667;Card;Shojo;23;4.0;;;3;01/01/0001;01/01/9999;0;0;
YES;MI;INN10847;2018;FEB;0;9.3;0;0,25;Card;Shonen;16;15.0;3.0;1.0;4;10/02/2018;10/02/2018;0;0;31.884781489300696
YES;BO;INN17254;2018;OCT;2;12.765;0;0,0;Card;Shonen;22;10.0;2.0;1.0;2;30/07/2018;30/07/2018;0;3;21.294791363972692
YES;BO;INN11758;2018;APR;0;12.267;0;0,33333;Card;Shonen;18;1.0;3.0;2.0;3;31/03/2018;06/10/2017;0;0;31.287318160445686
YES;BO;INN06843;2018;OCT;1;10.638;0;0,4;Card;Shonen;18;29.0;1.0;1.0;5;07/08/2018;07/08/2018;0;1;6.326050301350449
YES;BO;INN34003;2018;MAR;1;10.918000000000001;0;0,0;Cash;;<=10;31.0;2.0;1.0;2;12/01/2018;12/01/2018;0;1;14.861971288438262
YES;BO;INN04945;2018;JUN;0;12.0;0;0,0;Cash;Shonen;;28.0;8.0;5.0;2;01/06/2018;27/03/2018;0;0;83.58498187022545
YES;BO;INN23577;2018;FEB;1;9.3;0;0,33333;Card;Shonen;13;20.0;5.0;2.0;3;01/02/2018;09/06/2017;0;0;32.13385573620064
YES;BO;INN10288;2018;MAY;1;11.73;0;0,5;Card;Shonen;22;29.0;5.0;2.0;4;05/05/2018;16/12/2017;0;0;49.84580032938321
YES;BO;INN12837;2018;SEP;4;15.566999999999998;0;0,33333;Card;Shonen;<=10;8.0;3.0;2.0;3;14/08/2018;26/11/2017;0;0;35.081998219145284
YES;MI;INN25604;2018;APR;1;8.9;0;0,0;Card;Shojo;27;17.0;8.0;4.0;2;16/04/2018;21/05/2017;0;3;97.52751115937812
YES;BO;INN20583;2018;JAN;0;7.17;0;0,5;Card;Shonen;15;4.0;;;2;01/01/0001;01/01/9999;0;0;
YES;MI;INN33930;2018;FEB;0;6.5;0;0,66667;Coupon;Shonen;19;17.0;3.0;1.0;3;17/02/2018;17/02/2018;0;0;36.58970585964713
YES;NA;INN04450;2018;MAR;0;8.8;1;0,5;Coupon;Shonen;;10.0;17.0;6.0;2;10/03/2018;28/01/2017;1;0;220.254944504741
YES;BO;INN35054;2018;MAR;0;6.5;1;0,5;Cash;Shonen;14;24.0;;;2;01/01/0001;01/01/9999;1;0;
YES;RM;INN20369;2018;JUN;0;12.0;0;0,5;Cash;Shonen;22;23.0;8.0;5.0;2;13/04/2018;07/07/2017;0;0;80.89189529778903
YES;BO;INN09326;2018;FEB;0;7.151999999999999;0;0,5;Card;Shonen;11;16.0;;;4;01/01/0001;01/01/9999;0;0;
YES;BO;INN13152;2018;JUN;3;17.73;1;0,0;Card;Shonen;21;10.0;3.0;2.0;4;07/01/2018;30/05/2017;1;0;33.86923202435446
YES;BO;INN14292;2018;APR;0;6.999;0;0,33333;Card;Shonen;12;6.0;5.0;2.0;3;06/04/2018;14/09/2017;0;0;63.53591005203968
YES;RM;INN10994;2018;AUG;0;7.225;0;0,33333;Cash;Shonen;21;8.0;2.0;1.0;3;22/01/2018;22/01/2018;0;1;8.177998053582176
YES;BO;INN23856;2018;JUL;3;11.369;0;0,25;Card;Shonen;30+;18.0;3.0;1.0;4;20/02/2018;20/02/2018;0;1;26.930779472356964
YES;RM;INN09138;2018;MAR;0;10.767;0;0,0;Card;Shojo;20;8.0;;;2;01/01/0001;01/01/9999;0;0;
YES;RM;INN05304;2018;JAN;1;0.6;0;0,33333;Card;Shonen;28;2.0;1.0;1.0;3;30/11/2017;30/11/2017;0;0;8.911064556571688
YES;BO;INN30017;2018;FEB;0;9.7;0;0,0;Coupon;Shonen;12;19.0;1.0;1.0;1;17/02/2018;17/02/2018;0;0;11.867492886681317
YES;BO;INN09181;2018;SEP;1;16.830000000000002;0;0,0;Card;Shonen;17;5.0;;;3;01/01/0001;01/01/9999;0;0;
YES;MI;INN32455;2018;MAR;0;5.6;0;0,0;Cash;Shonen;26;8.0;;;1;01/01/0001;01/01/9999;0;0;
NO;RM;INN11532;2018;SEP;0;12.690000000000001;0;0,0;Card;Shonen;<=10;26.0;5.0;2.0;2;18/04/2018;25/09/2017;0;0;45.01579948309391
YES;RM;INN04871;2018;JUL;2;8.55;0;0,0;Card;Shojo;12;30.0;1.0;1.0;2;05/02/2018;05/02/2018;0;1;8.10188804683499
YES;BO;INN11609;2018;OCT;2;16.1;0;0,0;Card;Shonen;<=10;28.0;1.0;1.0;2;29/09/2018;29/09/2018;0;0;9.899942957187353
YES;NA;INN20870;2018;MAY;1;11.201;0;0,5;Card;Shonen;22;18.0;;;4;01/01/0001;01/01/9999;0;0;
YES;NA;INN25307;2018;OCT;2;13.5;0;0,0;Card;Shonen;;11.0;5.0;2.0;3;30/05/2018;08/12/2017;0;2;61.486587157128284
YES;BO;INN11508;2018;AUG;1;12.9;0;0,66667;Card;Shojo;20;12.0;;;6;01/01/0001;01/01/9999;0;0;
YES;BO;INN07575;2018;JAN;0;7.614;0;0,0;Card;Shonen;21;30.0;1.0;1.0;1;06/01/2018;06/01/2018;0;0;13.722404449365902
YES;NA;INN20981;2018;MAY;1;13.733;0;0,0;Card;Shonen;25;4.0;;;3;01/01/0001;01/01/9999;0;0;
YES;NA;INN31131;2018;AUG;0;12.6;0;0,33333;Card;Shonen;24;30.0;1.0;1.0;3;06/07/2018;06/07/2018;0;0;11.570997133727145
YES;MI;INN19842;2018;MAR;1;11.172;0;0,0;Card;Shonen;15;22.0;1.0;1.0;4;04/01/2018;04/01/2018;0;3;9.98718405708017
YES;BO;INN02667;2018;FEB;0;8.1;0;0,0;Card;Shojo;24;28.0;3.0;1.0;2;24/02/2018;24/02/2018;0;0;35.49295084170676
NO;BO;INN34849;2018;JUL;0;11.43;0;0,0;Card;Shonen;20;12.0;;;2;01/01/0001;01/01/9999;0;0;
YES;BO;INN12094;2018;AUG;0;7.225;0;0,0;Cash;Shonen;16;27.0;3.0;1.0;2;04/05/2018;04/05/2018;0;0;25.418243789309905
YES;BO;INN10477;2018;OCT;0;12.9;0;0,5;Card;Shonen;28;2.0;;;4;01/01/0001;01/01/9999;0;0;
YES;BO;INN25511;2018;JUL;2;10.53;0;0,5;Card;Shonen;16;29.0;;;4;01/01/0001;01/01/9999;0;0;
YES;BO;INN27907;2018;AUG;1;8.482;0;0,2;Card;Shonen;;30.0;;;5;01/01/0001;01/01/9999;0;0;
YES;BO;INN14369;2018;MAY;0;7.3;0;0,0;Cash;Shonen;<=10;12.0;2.0;1.0;2;28/04/2018;28/04/2018;1;0;22.903598397791402
YES;RM;INN15393;2018;OCT;0;8.0;0;0,66667;Cash;Shonen;16;30.0;1.0;1.0;3;29/11/2017;29/11/2017;0;0;10.583506641408125
YES;BO;INN21920;2018;MAY;1;8.075;0;0,0;Cash;Shonen;16;30.0;3.0;1.0;2;03/05/2018;03/05/2018;0;0;43.25670298570279
YES;BO;INN04091;2018;JUL;0;9.99;0;0,0;Card;Shonen;22;31.0;1.0;1.0;1;28/03/2018;28/03/2018;0;0;9.712822427399274
YES;RM;INN34698;2018;MAR;0;8.9;0;0,0;Coupon;Shonen;14;25.0;1.0;1.0;1;03/03/2018;03/03/2018;0;0;10.581391293042131
YES;RM;INN02635;2018;MAY;1;11.61;0;0,5;Card;Shojo;17;15.0;;;4;01/01/0001;01/01/9999;0;0;
YES;BO;INN14673;2018;AUG;1;15.41;0;0,0;Card;Shonen;14;29.0;6.0;2.0;2;26/06/2018;26/10/2017;0;0;75.95869053850068
YES;NA;INN17435;2018;JUN;0;12.0;0;0,66667;Cash;Shonen;15;3.0;1.0;1.0;3;24/03/2018;24/03/2018;0;0;7.312927163160724
YES;BO;INN25663;2018;JAN;0;9.3;0;0,33333;Card;Shonen;18;21.0;3.0;2.0;3;19/01/2018;06/12/2017;0;0;42.85989062315356
YES;BO;INN21964;2018;JUN;1;9.7;0;0,33333;Card;Shojo;;19.0;;;3;01/01/0001;01/01/9999;0;0;
YES;BO;INN10807;2018;MAY;0;8.175;0;0,33333;Cash;Shonen;21;29.0;6.0;2.0;3;27/05/2018;16/06/2017;0;0;56.287090553504854
YES;BO;INN19001;2018;AUG;2;8.075;0;0,0;Cash;Shonen;18;25.0;6.0;2.0;2;21/03/2018;05/12/2017;0;1;60.63451246950767
YES;BO;INN01331;2018;MAY;0;16.0;0;0,5;Cash;;17;31.0;5.0;2.0;4;20/05/2018;27/12/2017;0;0;51.5768031717944
YES;NA;INN07561;2018;SEP;0;7.8;0;0,0;Cash;Shonen;18;10.0;1.0;1.0;2;09/10/2017;09/10/2017;0;0;5.507272031014443
YES;BO;INN14915;2018;JUN;1;0.0;0;0,33333;Coupon;Seinen;19;1.0;;;3;01/01/0001;01/01/9999;0;0;
NO;NA;INN26972;2018;SEP;0;12.33;0;0,0;Card;Shonen;;29.0;8.0;3.0;2;31/07/2018;23/03/2018;0;0;59.94042947401913
YES;BO;INN16165;2018;JAN;0;7.5;0;0,6;Card;Shojo;;30.0;1.0;1.0;5;28/01/2018;28/01/2018;0;0;9.391751015959974
YES;RM;INN16480;2018;AUG;1;8.5;0;0,0;Cash;Shonen;18;29.0;;;2;01/01/0001;01/01/9999;0;0;
YES;RM;INN07756;2018;AUG;1;20.1;0;0,0;Card;Shonen;12;30.0;5.0;1.0;4;27/08/2018;27/08/2018;0;0;57.89511400931556
YES;RM;INN10533;2018;SEP;1;19.4;0;0,0;Card;Shonen;12;26.0;3.0;1.0;2;24/09/2018;24/09/2018;0;0;34.52618253397661
YES;BO;INN26159;2018;JUN;1;15.725;0;0,0;Card;;;19.0;1.0;1.0;2;18/03/2018;18/03/2018;0;0;7.625048486178768
YES;BO;INN34973;2018;MAY;0;0.0;0;0,33333;Coupon;Shonen;13;12.0;5.0;2.0;3;12/05/2018;17/12/2017;0;0;50.358430407899334
YES;BO;INN19012;2018;APR;2;15.6;1;0,25;Card;Shonen;<=10;2.0;;;4;01/01/0001;01/01/9999;1;0;
YES;RM;INN09918;2018;JAN;0;6.6;0;0,66667;Coupon;Shonen;16;27.0;4.0;3.0;3;25/01/2018;04/06/2017;0;0;47.04969913115115
YES;MI;INN13306;2018;JAN;0;8.0;0;0,0;Cash;Shonen;15;22.0;;;1;01/01/0001;01/01/9999;0;0;
YES;BO;INN04337;2018;AUG;0;10.0;0;0,33333;Cash;Shonen;22;25.0;6.0;2.0;3;04/04/2018;20/08/2017;0;0;69.41309114455767
YES;BO;INN35894;2018;JAN;0;6.75;0;0,0;Card;Shojo;11;3.0;1.0;1.0;2;23/12/2017;23/12/2017;0;0;9.101902962217533
YES;BO;INN00851;2018;JUN;0;9.5;0;0,66667;Cash;Shonen;21;1.0;;;3;01/01/0001;01/01/9999;0;0;
YES;MI;INN22744;2018;FEB;0;10.9;0;0,25;Card;Shonen;16;14.0;5.0;2.0;4;13/02/2018;27/03/2017;0;0;44.11641455586556
YES;MI;INN12089;2018;SEP;2;8.9;0;0,0;Card;Shojo;29;5.0;;;2;01/01/0001;01/01/9999;0;0;
YES;BO;INN17133;2018;JUL;2;14.45;0;0,0;Card;;19;12.0;6.0;3.0;2;08/03/2018;10/08/2017;0;2;62.99943335398752
YES;RM;INN09511;2018;OCT;0;11.0;0;0,0;Coupon;Shonen;14;17.0;3.0;2.0;1;10/10/2018;16/05/2018;0;0;34.15137668687869
YES;NA;INN06309;2018;JUN;1;14.1;0;0,0;Card;Shonen;16;24.0;;;2;01/01/0001;01/01/9999;0;0;
YES;BO;INN15098;2018;MAR;1;9.945;0;0,33333;Card;Shonen;26;14.0;2.0;2.0;3;05/01/2018;13/08/2017;0;0;16.571882063560935
YES;BO;INN12949;2018;JUL;1;11.43;0;0,33333;Card;Shonen;30+;28.0;4.0;2.0;3;25/05/2018;28/01/2018;0;0;46.722919761052765
YES;NA;INN14477;2018;OCT;1;8.047;0;0,5;Card;Shojo;24;4.0;1.0;1.0;2;25/09/2018;25/09/2018;0;0;9.95026328311671
YES;BO;INN35804;2018;APR;1;9.629999999999999;0;0,0;Card;Shonen;21;24.0;2.0;1.0;2;22/01/2018;22/01/2018;0;1;26.929932138389525
YES;RM;INN27377;2018;SEP;1;24.849;0;0,33333;Card;Shonen;14;10.0;3.0;1.0;6;06/08/2018;06/08/2018;0;0;35.80486311538804
YES;NA;INN05134;2018;JUL;0;10.53;0;0,33333;Card;Shonen;25;4.0;5.0;2.0;3;24/02/2018;03/07/2017;0;0;44.48713539391405
NO;NA;INN32833;2018;FEB;0;6.1;0;0,83333;Cash;Shonen;14;28.0;;;6;01/01/0001;01/01/9999;0;0;
YES;BO;INN13818;2018;MAR;0;8.9;0;0,66667;Coupon;Shonen;21;28.0;3.0;2.0;3;06/03/2018;02/11/2017;0;0;35.27499920820817
YES;BO;INN29176;2018;OCT;2;8.95;0;0,33333;Card;;22;28.0;;;3;01/01/0001;01/01/9999;0;0;
